,,,,,,,,,,,extracted automatically,,,,,,,
298,2025,An Explainable Radiomics-Based Classification Model for Sarcoma Diagnosis,Simona Correra; Arnar Evgení Gunnarsson; Marco Recenti; Francesco Mercaldo; Vittoria Nardone; Antonella Santone; Halldór Jónsson; Paolo Gargiulo,Journal Article,Multidisciplinary Digital Publishing Institute,0,TRUE,https://www.mdpi.com/2075-4418/15/16/2098/pdf?version=1755756131,40870952,10.3390/diagnostics15162098,sarcoma tumour classification,Sarcoma,Oncology,LIME; feature importance,Random Forest,Multimodal,Diagnosis/detection/classification,high
299,2025,An explainable radiomics-based machine learning model for preoperative differentiation of parathyroid carcinoma and atypical tumors on ultrasound: a retrospective diagnostic study,Chunrui Liu; Wenxian Li; Baojie Wen; Haiyan Xue; Yidan Zhang; Shuping Wei; Jinxia Gong; Li Huang; Jian He; Jing Yao; Zhengyang Zhou,Journal Article,Frontiers Media,3,TRUE,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1617032/pdf,40862115,10.3389/fendo.2025.1617032,parathyroid carcinoma and atypical parathyroid tumour,Thyroid cancer,Oncology,SHAP,Random Forest; SVM; Logistic Regression,Multimodal,Diagnosis/detection/classification,high
300,2022,An explainable self-attention deep neural network for detecting mild cognitive impairment using multi-input digital drawing tasks,Natthanan Ruengchaijatuporn; Itthi Chatnuntawech; Surat Teerapittayanon; Sira Sriswasdi; Sirawaj Itthipuripat; Solaphat Hemrungrojn; Prodpran Bunyabukkana; Aisawan Petchlorlian; Sedthapong Chunamchai; Thiparat Chotibut; Chaipat Chunharas,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,40,TRUE,https://alzres.biomedcentral.com/counter/pdf/10.1186/s13195-022-01043-2,35945568,10.1186/s13195-022-01043-2,mild cognitive impairment,Mild cognitive impairment,Neurology,Grad-CAM; self-attention visualisation,VGG16; Deep Learning (multi-input),Tabular/EHR,Risk prediction/screening,high
304,2022,An Explainable Supervised Machine Learning Model for Predicting Respiratory Toxicity of Chemicals Using Optimal Molecular Descriptors,Keerthana Jaganathan; Hilal Tayara; Kil To Chong,Journal Article,Multidisciplinary Digital Publishing Institute,59,TRUE,https://www.mdpi.com/1999-4923/14/4/832/pdf?version=1649670455,35456666,10.3390/pharmaceutics14040832,respiratory toxicity prediction,Respiratory toxicity,Other,SHAP,SVM; ML algorithms (unspecified),Tabular/EHR,Diagnosis/detection/classification,medium
305,2021,An explainable supervised machine learning predictor of acute kidney injury after adult deceased donor liver transplantation,Yihan Zhang; Dong Heon Yang; Zifeng Liu; Chaojin Chen; Mian Ge; Xiang Li; Tongsen Luo; Zhendong Wu; Chenguang Shi; Bohan Wang; Xiaoshuai Huang; Xiaodong Zhang; Shaoli Zhou; Ziqing Hei,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,89,TRUE,https://translational-medicine.biomedcentral.com/counter/pdf/10.1186/s12967-021-02990-4,34321016,10.1186/s12967-021-02990-4,acute kidney injury after liver transplantation,Acute kidney injury,Nephrology & Urology,SHAP,Logistic Regression; SVM; Random Forest; Gradient Boosting Machine; AdaBoost,Tabular/EHR,Prognosis/outcome prediction,high
308,2025,An Explainable Two-Stage Machine Learning Model for Predicting the Post-Thrombolysis Complications in Stroke Patients: A Multi-Center Study,Hongling Zhu; Qing Ye; Shurui Wang; Hongsen Cai; Mairihaba Maimaiti; Jinsheng Lai; Chuan Qin; Ping Zhang; Yanyan Chen; Qiushi Luo; Hongmin Wu; Danyang Chen; Shiling Chen; Shudan Zhu; Yaqiong Lv; Yanxiang Xu; Jian Zhang; Benshan Hu; Yuanxiang Yin; Yan Xie; Dongmei Zhu; Xiaoxing Ming; Zhouping Tang; Hesong Zeng,Journal Article,American Association for the Advancement of Science,2,TRUE,https://doi.org/10.34133/research.0817,40837876,10.34133/research.0817,stroke thrombolysis complications,Stroke,Neurology,XAI (unspecified),LightGBM; XGBoost; Random Forest; Decision Tree; Logistic Regression,Tabular/EHR,Survival/mortality prediction,high
309,2024,An explainable ultrasound-based machine learning model for predicting reproductive outcomes after frozen embryo transfer,Fangfang Xu; Qianqing Ma; Penghao Lai; Lili Hu; Chuanfen Gao; Qianhua Xu; Youyan Fang; Yixuan Guo; Wen Yao; Chaoxue Zhang,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,8,TRUE,https://www.rbmojournal.com/article/S1472-6483(24)00932-5/pdf,,10.1016/j.rbmo.2024.104743,frozen embryo transfer reproductive outcomes,Infertility/ART,"Maternal, Reproductive & Child Health",SHAP,XGBoost; Logistic Regression; radiomics model,Multimodal,Prognosis/outcome prediction,high
310,2025,"An explainable web application based on machine learning for predicting fragility fracture in people living with HIV: data from Beijing Ditan Hospital, China",Bo Liu; Qiang Zhang; Xin Li,Journal Article,Frontiers Media,3,TRUE,https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2025.1461740/pdf,40160472,10.3389/fcimb.2025.1461740,fragility fracture in HIV-positive patients,HIV,Other,SHAP,XGBoost; Logistic Regression; Decision Tree; SVM; KNN; Random Forest; LASSO; Boruta; RFE,Tabular/EHR,Survival/mortality prediction,high
314,2024,"An innovative artificial intelligence-based method to compress complex models into explainable, model-agnostic and reduced decision support systems with application to healthcare (NEAR)",Karim Kassem; Michela Sperti; Andrea Cavallo; Andrea Mario Vergani; Davide Fassino; Monica Moz; Alessandro Liscio; Riccardo Banali; Fried-Michael Dahlweid; Luciano Benetti; Francesco Bruno; Guglielmo Gallone; Ovidio De Filippo; Mario Iannaccone; Fabrizio D’Ascenzo; Gaetano Maria De Ferrari; Umberto Morbiducci; Emanuele Della Valle; Marco A. Deriu,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,11,TRUE,https://doi.org/10.1016/j.artmed.2024.102841,,10.1016/j.artmed.2024.102841,acute coronary syndrome mortality,Myocardial infarction,Cardiology,SHAP; NEAR (SHAP-based compression),AdaBoost; ML/DL models (unspecified),Tabular/EHR,Survival/mortality prediction,high
322,2025,An online explainable ensemble machine learning model for predicting epidermal growth factor receptor mutation status in lung adenocarcinoma,Qilong Song; Xiaohu Li; Biao Song; Ting-Ting Zhang; Xiankuo Hu; Ao Li; Dongchun Ma; Xuhong Min; Yongqiang Yu,Journal Article,AME Publishing Company,1,TRUE,https://doi.org/10.21037/tlcr-2025-237,40799429,10.21037/tlcr-2025-237,lung adenocarcinoma EGFR mutation status,Lung cancer,Oncology,SHAP,Random Forest; Logistic Regression; SVM; LightGBM; XGBoost; Deep Learning CNN; Ensemble ML,Tabular/EHR,Diagnosis/detection/classification,high
326,2024,Analysis and evaluation of explainable artificial intelligence on suicide risk assessment,Hao Tang; Aref Miri Rekavandi; Dharjinder Rooprai; Girish Dwivedi; Frank Sanfilippo; Farid Boussaïd; Mohammed Bennamoun,Journal Article,Nature Portfolio,30,TRUE,https://www.nature.com/articles/s41598-024-53426-0.pdf,38485985,10.1038/s41598-024-53426-0,suicide risk,Suicide,Psychiatry & Mental Health,SHAP,Random Forest,Tabular/EHR,Risk prediction/screening,high
332,2023,Analyzing breast cancer invasive disease event classification through explainable artificial intelligence,Raffaella Massafra; Annarita Fanizzi; Nicola Amoroso; Samantha Bove; Maria Colomba Comes; Domenico Pomarico; Vittorio Didonna; Sergio Diotaiuti; Luisa Galati; Francesco Giotta; Daniele La Forgia; Agnese Latorre; Angela Lombardi; Annalisa Nardone; Maria Irene Pastena; Cosmo Maurizio Ressa; L. Rinaldi; Pasquale Tamborra; Alfredo Zito; Angelo Paradiso; R. Bellotti; Vito Lorusso,Journal Article,Frontiers Media,31,TRUE,https://www.frontiersin.org/articles/10.3389/fmed.2023.1116354/pdf,36817766,10.3389/fmed.2023.1116354,breast cancer invasive disease events,Breast cancer,Oncology,SHAP,ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
335,2025,"APNet, an explainable sparse deep learning model to discover differentially active drivers of severe COVID-19",George Gavriilidis; Vasileios Vasileiou; Stella Dimitsaki; Georgios Karakatsoulis; Antonis Giannakakis; Georgios A. Pavlopoulos; Fotis Psomopoulos,Journal Article,Oxford University Press,6,TRUE,https://academic.oup.com/bioinformatics/article-pdf/41/3/btaf063/61813126/btaf063.pdf,39921901,10.1093/bioinformatics/btaf063,COVID-19 severity,COVID-19,Respiratory & Infectious Disease,pathway-based explainability; XAI (unspecified),PASNet; Deep Learning (sparse); SJARACNe,Omics,Biomarker discovery,high
337,2024,Appendicitis Diagnosis: Ensemble Machine Learning and Explainable Artificial Intelligence-Based Comprehensive Approach,Mohammed Gollapalli; Atta Rahman; Sheriff A. Kudos; Mohammed S. Foula; Abdullah Mahmoud Alkhalifa; Hassan M. Albisher; Mohammed Al-Hariri; Nazeeruddin Mohammad,Article,Multidisciplinary Digital Publishing Institute,23,TRUE,https://www.mdpi.com/2504-2289/8/9/108/pdf?version=1725455270,,10.3390/bdcc8090108,acute appendicitis,Acute appendicitis,Other,XAI feature importance,KNN; Decision Tree; Bagging; Stacking Ensemble,Medical imaging,Prognosis/outcome prediction,high
341,2023,Application of SHAP for Explainable Machine Learning on Age-Based Subgrouping Mammography Questionnaire Data for Positive Mammography Prediction and Risk Factor Identification,Jeffrey Sun; Cheuk‐Kay Sun; Yun-Xuan Tang; Tzu-Chi Liu; Chi-Jie Lu,Journal Article,Multidisciplinary Digital Publishing Institute,45,TRUE,https://www.mdpi.com/2227-9032/11/14/2000/pdf?version=1689077957,37510441,10.3390/healthcare11142000,breast cancer screening mammography,Breast cancer,Oncology,SHAP,LASSO; XGBoost; Random Forest,Medical imaging,Prognosis/outcome prediction,high
347,2023,Applying Explainable Machine Learning Models for Detection of Breast Cancer Lymph Node Metastasis in Patients Eligible for Neoadjuvant Treatment,Josip Vrdoljak; Zvonimir Boban; Domjan Barić; Darko Šegvić; Marko Kumrić; Manuela Avirović; Melita Perić Balja; Marija Milković Periša; Čedna Tomasović; Snježana Tomić; Eduard Vrdoljak; Joško Božić,Journal Article,Multidisciplinary Digital Publishing Institute,23,TRUE,https://www.mdpi.com/2072-6694/15/3/634/pdf?version=1674271306,36765592,10.3390/cancers15030634,breast cancer axillary lymph node metastasis,Breast cancer,Oncology,SHAP,Random Forest; XGBoost,Tabular/EHR,Treatment response prediction,high
349,2025,Artificial intelligence assisted nutritional risk evaluation model for critically ill patients: Integration of explainable machine learning in intensive care nutrition,Chao‐Hsiu Chen; Kai-Chih Pai; Hui‐Min Hsieh; Yi-Jui Chan; Hsiao-Lin Hsu; Chen-Yu Wang,Journal Article,National Institutes of Health,2,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/12126293,40419395,10.6133/apjcn.202506_34(3).0009,malnutrition risk in critically ill patients,ICU mortality,Critical Care & Surgery,SHAP,XGBoost; CatBoost; LightGBM; Logistic Regression,Tabular/EHR,Risk prediction/screening,high
350,2025,Assessing chemical exposure risk in breastfeeding infants: An explainable machine learning model for human milk transfer prediction,Huang Xiao-jie; Jiajia Chen; P. L. Liu,Journal Article,Elsevier BV,2,TRUE,https://doi.org/10.1016/j.ecoenv.2025.117707,,10.1016/j.ecoenv.2025.117707,chemical transfer risk through breast milk,Environmental health,Other,SHAP,Balanced Random Forest; Genetic Algorithm,Tabular/EHR,Risk prediction/screening,medium
353,2023,Assessing the relevance of mental health factors in fibromyalgia severity: A data-driven case study using explainable AI,Pedro A. Moreno-Sánchez; Rubén Arroyo-Fernández; Elisabeth Bravo-Esteban; Asunción Ferri‐Morales; Mark van Gils,Journal Article,Elsevier BV,10,TRUE,https://doi.org/10.1016/j.ijmedinf.2023.105280,,10.1016/j.ijmedinf.2023.105280,fibromyalgia,Fibromyalgia,Musculoskeletal & Rheumatology,SHAP; Partial Dependence Plot; Mean Decrease Impurity,Decision Tree; Logistic Regression; SVM; Random Forest; AdaBoost; Extra Trees; RUSBoost,Tabular/EHR,Diagnosis/detection/classification,high
357,2023,Assessment of Hematological Predictors via Explainable Artificial Intelligence in the Prediction of Acute Myocardial Infarction,Rüstem Yılmaz; Fatma Hilal Yağın; Ali Raza; Cemil Çolak; Tahir Çetin Akıncı,Article,Institute of Electrical and Electronics Engineers,11,TRUE,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10268904.pdf,,10.1109/ACCESS.2023.3321509,acute myocardial infarction,Myocardial infarction,Cardiology,SHAP,XGBoost; AdaBoost; LightGBM,Tabular/EHR,Survival/mortality prediction,high
358,2025,Association Between Risk Factors and Major Cancers: Explainable Machine Learning Approach,Xiayuan Huang; Shushun Ren; Xinyue Mao; Sirui Chen; Elle Chen; Yuqi He; Yun Jiang,Journal Article,JMIR Publications,6,TRUE,https://cancer.jmir.org/2025/1/e62833/PDF,40315870,10.2196/62833,breast colorectal lung and prostate cancer risk factors,Cancer (general),Oncology,feature importance,Logistic Regression; Random Forest; Multilayer Perceptron,Tabular/EHR,Prognosis/outcome prediction,medium
359,2023,Atherosclerotic plaque classification in carotid ultrasound images using machine learning and explainable deep learning,Soni Singh; Pankaj K. Jain; Neeraj Sharma; Mausumi Pohit; Sudipta Roy,Article,Elsevier BV,34,TRUE,https://doi.org/10.1016/j.imed.2023.05.003,,10.1016/j.imed.2023.05.003,atherosclerotic plaque,Coronary artery disease,Cardiology,Grad-CAM,VGG16; ResNet-50; GoogLeNet; XceptionNet; SqueezeNet; SVM,Multimodal,Risk prediction/screening,high
360,2021,Autism Spectrum Self-Stimulatory Behaviors Classification Using Explainable Temporal Coherency Deep Features and SVM Classifier,Shuaibing Liang; Aznul Qalid Md Sabri; Fady Alnajjar; Chu Kiong Loo,Article,Institute of Electrical and Electronics Engineers,48,TRUE,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09360809.pdf,,10.1109/ACCESS.2021.3061455,autism spectrum disorder,Autism spectrum disorder,Psychiatry & Mental Health,Layer-wise Relevance Propagation,TCDN; SVM; KNN; Discriminant Analysis; K-means,Tabular/EHR,Prognosis/outcome prediction,high
362,2024,Automated approach for fetal and maternal health management using light gradient boosting model with SHAP explainable AI,Nisreen Innab; Shtwai Alsubai; Ebtisam Alabdulqader; Aisha Ahmed Alarfaj; Muhammad Umer; Silvia Treľová; Imran Ashraf,Journal Article,Frontiers Media,20,TRUE,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1462693/pdf,39758195,10.3389/fpubh.2024.1462693,fetal health classification,Neonatal/paediatric,"Maternal, Reproductive & Child Health",,LightGBM; SMOTE; ML models (unspecified),Physiological signal,Risk prediction/screening,high
364,2024,Automated Detection of Central Retinal Artery Occlusion Using OCT Imaging via Explainable Deep Learning,Ansgar Beuse; D. Wénzel; Martin S. Spitzer; Karl Ulrich Bartz‐Schmidt; Maximilian Schultheiß; Sven Poli; Carsten Grohmann,Journal Article,Elsevier BV,13,TRUE,https://www.ophthalmologyscience.org/article/S2666-9145(24)00166-0/pdf,39669299,10.1016/j.xops.2024.100630,central retinal artery occlusion,Retinal disease,Ophthalmology,,Deep Learning CNN (unspecified),Medical imaging,Prognosis/outcome prediction,high
366,2025,Automated identification of autism spectrum disorder from facial images using explainable deep learning models,El-Sayed Atlam; Khulood O. Aljuhani; Ibrahim Gad; Elsaid Md. Abdelrahim; Ahmed E. Mansour Atwa; Ali Mohammed Saleh Ahmed,Journal Article,Nature Portfolio,24,TRUE,https://www.nature.com/articles/s41598-025-11847-5.pdf,40695996,10.1038/s41598-025-11847-5,autism spectrum disorder,Autism spectrum disorder,Psychiatry & Mental Health,LIME,VGG16; VGG19; InceptionV3; VGGFace; MobileNet,Tabular/EHR,Risk prediction/screening,high
367,2024,Automated Machine Learning and Explainable AI (AutoML-XAI) for Metabolomics: Improving Cancer Diagnostics,Olatomiwa O. Bifarin; Facundo M. Fernández,Journal Article,American Chemical Society,43,TRUE,https://pubs.acs.org/doi/pdf/10.1021/jasms.3c00403,38690775,10.1021/jasms.3c00403,renal cell carcinoma and ovarian cancer,Ovarian cancer,Oncology,SHAP,Auto-sklearn; SVM; KNN; Ensemble ML,Omics,Diagnosis/detection/classification,medium
368,2023,Automated Stroke Prediction Using Machine Learning: An Explainable and Exploratory Study With a Web Application for Early Intervention,Krishna Mridha; Sandesh Ghimire; Jungpil Shin; Anmol Aran; Md. Mezbah Uddin; M. F. Mridha,Article,Institute of Electrical and Electronics Engineers,99,TRUE,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10130159.pdf,,10.1109/ACCESS.2023.3278273,stroke,Stroke,Neurology,SHAP; LIME,ML classifiers (unspecified),Tabular/EHR,Risk prediction/screening,high
369,2024,Automatic classification of HEp-2 specimens by explainable deep learning and Jensen-Shannon reliability index,Arianna Mencattini; Tommaso Tocci; M. Nuccetelli; Matteo Pieri; S. Bernardini; Eugenio Martinelli,Journal Article,Elsevier BV,3,TRUE,https://doi.org/10.1016/j.artmed.2024.103030,,10.1016/j.artmed.2024.103030,connective tissue diseases via ANA pattern classification,Connective tissue disease,Musculoskeletal & Rheumatology,Grad-CAM,Deep Learning (Transfer Learning),Tabular/EHR,Diagnosis/detection/classification,high
371,2023,Automatic COVID-19 prediction using explainable machine learning techniques,Sanzida Solayman; Sk. Azmiara Aumi; Chand Sultana Mery; Muktadir Mubassir; Riasat Khan,Article,Elsevier BV,81,TRUE,https://doi.org/10.1016/j.ijcce.2023.01.003,,10.1016/j.ijcce.2023.01.003,COVID-19,COVID-19,Respiratory & Infectious Disease,LIME,Logistic Regression; Random Forest; Decision Tree; KNN; SVM; AdaBoost; XGBoost; ANN; CNN; LSTM; CNN-LSTM; SMOTE,Tabular/EHR,Prognosis/outcome prediction,high
372,2024,Automatic diabetes prediction with explainable machine learning techniques,A. Haque; Sanjida Islam; Nusrat Rahim Mim; Sabrina Mannan Meem; Ananya Saha; Riasat Khan,Article,Institute of Advanced Engineering and Science (IAES),1,TRUE,https://ijai.iaescore.com/index.php/IJAI/article/download/25569/14368,,10.11591/ijai.v14.i1.pp408-415,type 2 diabetes mellitus,Type 2 diabetes mellitus,Diabetes & Endocrinology,LIME,SVM; ensemble classifiers (unspecified); SMOTE,Tabular/EHR,Prognosis/outcome prediction,high
380,2024,Beyond black-box models: explainable AI for embryo ploidy prediction and patient-centric consultation,Thi‐My‐Trang Luong; Nguyen-Tuong Ho; Yuh-Ming Hwu; Shyr-Yeu Lin; Jason Yen‐Ping Ho; Ruey-Sheng Wang; Yi-Xuan Lee; Shun-Jen Tan; Yi-Rong Lee; Yung-Ling Huang; Yi-Ching Hsu; Nguyen Quoc Khanh Le; Chii‐Ruey Tzeng,Journal Article,Springer Science+Business Media,12,TRUE,https://pmc.ncbi.nlm.nih.gov/articles/PMC11405599/pdf/10815_2024_Article_3178.pdf,38963605,10.1007/s10815-024-03178-7,embryo ploidy status prediction,Infertility/ART,"Maternal, Reproductive & Child Health",SHAP; LIME,Random Forest; LDA; Logistic Regression; SVM; AdaBoost; LightGBM,Tabular/EHR,Diagnosis/detection/classification,high
382,2023,Bioinformatics investigation on blood-based gene expressions of Alzheimer's disease revealed ORAI2 gene biomarker susceptibility: An explainable artificial intelligence-based approach,Karthik Sekaran; Alsamman M. Alsamman; C. George Priya Doss; Hatem Zayed,"Journal Article||Research Support, Non-U.S. Gov't",Springer Science+Business Media,19,TRUE,https://link.springer.com/content/pdf/10.1007/s11011-023-01171-0.pdf,36809524,10.1007/s11011-023-01171-0,Alzheimer's disease gene biomarkers,Alzheimer's disease,Neurology,XAI (unspecified),Naive Bayes; supervised ML classifiers (unspecified),Omics,Biomarker discovery,high
383,2025,Breast Lesion Detection Using Weakly Dependent Customized Features and Machine Learning Models with Explainable Artificial Intelligence,Simona Moldovanu; Dan Munteanu; Keka C. Biswas; Luminița Moraru,Journal Article,Multidisciplinary Digital Publishing Institute,7,TRUE,https://www.mdpi.com/2313-433X/11/5/135/pdf?version=1745835429,40422992,10.3390/jimaging11050135,breast lesion classification,Breast cancer,Oncology,LIME; SHAP,Random Forest; XGBoost; Gradient Boosting; LASSO,Medical imaging,Diagnosis/detection/classification,high
384,2025,Bridging Data and Clinical Insight: Explainable AI for ICU Mortality Risk Prediction,Ali Hassan; Riza bin Sulaiman; Mansoor Abdulhak; Hasan Kahtan,Article,Science and Information Organization,2,TRUE,https://thesai.org/Downloads/Volume16No2/Paper_75-Bridging_Data_and_Clinical_Insight.pdf,,10.14569/IJACSA.2025.0160275,ICU mortality,ICU mortality,Critical Care & Surgery,XAI (unspecified),Random Forest; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
386,2023,Bringing Machine Learning Systems into Clinical Practice: A Design Science Approach to Explainable Machine Learning-Based Clinical Decision Support Systems,Luisa Pumplun; Felix Peters; Joshua Gawlitza; Peter Buxmann,Article,Association for Information Systems,27,TRUE,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=2141&context=jais,,10.17705/1jais.00820,lung nodule classification,Lung cancer,Oncology,XAI (user-centred explanations),ML classifiers (unspecified),Tabular/EHR,Monitoring/management,high
388,,Building Trust in Clinical AI: A Web-Based Explainable Decision Support System for Chronic Kidney Disease,,Journal Article,,,,,,,chronic kidney disease,Chronic kidney disease,Nephrology & Urology,SHAP; LIME,KNN; Random Forest; AdaBoost; XGBoost; CatBoost; Extra Trees,Tabular/EHR,Monitoring/management,high
391,2023,Can diffusion tensor imaging have a diagnostic utility to differentiate early-onset forms of bipolar disorder and schizophrenia: A neuroimaging study with explainable machine learning algorithms,Yeşim Sağlam; Ahmet Öz; Gokcen Yildiz; Çağatay Ermiş; Osman Aykan Kargın; Serdar Arslan; Gül Karaçetin,Article,Elsevier BV,8,TRUE,https://doi.org/10.1016/j.pscychresns.2023.111696,,10.1016/j.pscychresns.2023.111696,early-onset schizophrenia vs bipolar disorder,Schizophrenia,Psychiatry & Mental Health,SHAP,XGBoost; SVM,Multimodal,Prognosis/outcome prediction,high
393,2023,Cancer Metastasis Prediction and Genomic Biomarker Identification through Machine Learning and eXplainable Artificial Intelligence in Breast Cancer Research,Burak Yagin; Fatma Hilal Yağın; Cemil Çolak; Feyza İnceoğlu; Seifedine Kadry; Jungeun Kim,Journal Article,Multidisciplinary Digital Publishing Institute,51,TRUE,https://www.mdpi.com/2075-4418/13/21/3314/pdf?version=1698312354,37958210,10.3390/diagnostics13213314,breast cancer distant metastasis,Breast cancer,Oncology,SHAP,LightGBM; CatBoost; XGBoost; Gradient Boosting Trees; AdaBoost,Omics,Biomarker discovery,high
396,2023,Cervical Cancer Diagnosis Using Stacked Ensemble Model and Optimized Feature Selection: An Explainable Artificial Intelligence Approach,Abdulaziz AlMohimeed; Hager Saleh; Sherif Mostafa; Redhwan M. A. Saad; Amira Samy Talaat,Article,Multidisciplinary Digital Publishing Institute,34,TRUE,https://www.mdpi.com/2073-431X/12/10/200/pdf?version=1696727653,,10.3390/computers12100200,cervical cancer,Cervical cancer,Oncology,XAI local explanations; XAI global explanations,Stacking Ensemble; SMOTE-Tomek; Bayesian Optimisation,Tabular/EHR,Treatment response prediction,high
398,2025,Characterization of immune microenvironment associated with medulloblastoma metastasis based on explainable machine learning,Fengmao Zhao; Xiangjun Liu; Jingang Gui; Hailang Sun; Nan Zhang; Yun Peng; Ming Ge; Wei Wang,Journal Article,Wiley,2,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ped4.12471,40241883,10.1002/ped4.12471,medulloblastoma metastasis,Brain tumour,Oncology,SHAP,ML algorithms (unspecified); LASSO,Omics,Survival/mortality prediction,high
400,2025,"Characterizing Multivariate Regional Hubs for Schizophrenia Classification, Sex Differences, and Brain Age Estimation Using Explainable AI",Yuzheng Nie; Taslim Murad; Hui-Yuan Miao; Puskar Bhattarai; Deepa S. Thakuri; Ganesh B. Chand,Article,Bentham Science Publishers,0,TRUE,https://openneuroimagingjournal.com/VOLUME/18/ELOCATOR/e18744400379054/PDF/,,10.2174/0118744400379054250428094005,schizophrenia,Schizophrenia,Psychiatry & Mental Health,SHAP,Deep Learning; SVM; KNN; Lasso Regression; Ridge Regression; SVR,Medical imaging,Risk prediction/screening,high
402,2021,Classification and Automated Interpretation of Spinal Posture Data Using a Pathology-Independent Classifier and Explainable Artificial Intelligence (XAI),Carlo Dindorf; Jürgen Konradi; Claudia Wolf; Bertram Taetz; Gabriele Bleser; Janine Huthwelker; Friederike Werthmann; Eva Bartaguiz; Johanna Kniepert; Philipp Drees; Ulrich Betz; Michael Fröhlich,Journal Article,Multidisciplinary Digital Publishing Institute,48,TRUE,https://www.mdpi.com/1424-8220/21/18/6323/pdf?version=1632364881,34577530,10.3390/s21186323,spinal disorders and back pain,Spinal disorders,Musculoskeletal & Rheumatology,LIME,One-class SVM,Tabular/EHR,Monitoring/management,medium
405,2025,"Clinical, radiological, and radiomics feature-based explainable machine learning models for prediction of neurological deterioration and 90-day outcomes in mild intracerebral hemorrhage",Weixiong Zeng; Jiaying Chen; Linling Shen; Genghong Xia; Jiahui Xie; Shuqiong Zheng; Zilong He; Limei Deng; Yan Guo; Jingjing Yang; Y. Lv; Genggeng Qin; Weiguo Chen; Jia Yin; Qiheng Wu,Journal Article,BioMed Central,4,TRUE,https://bmcmedimaging.biomedcentral.com/counter/pdf/10.1186/s12880-025-01717-x,40420050,10.1186/s12880-025-01717-x,mild intracerebral haemorrhage neurological deterioration,Intracerebral haemorrhage,Neurology,SHAP,SVM; ML models (unspecified),Multimodal,Prognosis/outcome prediction,high
408,2024,CNVoyant a machine learning framework for accurate and explainable copy number variant classification,Robert Schuetz; Defne Ceyhan; Austin Antoniou; Bimal P. Chaudhari; Peter White,Journal Article,Nature Portfolio,7,TRUE,https://www.nature.com/articles/s41598-024-72470-4.pdf,39333267,10.1038/s41598-024-72470-4,copy number variant pathogenicity classification,Rare genetic disease,Other,SHAP,"ML architectures (29 tested, unspecified)",Omics,Prognosis/outcome prediction,high
414,2022,"Combining explainable machine learning, demographic and multi-omic data to inform precision medicine strategies for inflammatory bowel disease",Laura‐Jayne Gardiner; Anna Paola Carrieri; Karen Bingham; Graeme Macluskie; David Bunton; Marian McNeil; Edward O. Pyzer‐Knapp,"Journal Article||Research Support, Non-U.S. Gov't",Public Library of Science,34,TRUE,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0263248&type=printable,35196350,10.1371/journal.pone.0263248,inflammatory bowel disease drug response,Inflammatory bowel disease,Musculoskeletal & Rheumatology,XAI feature importance,ML models (unspecified),Multimodal,Treatment response prediction,high
415,2024,Combining the Strengths of the Explainable Boosting Machine and Metabolomics Approaches for Biomarker Discovery in Acute Myocardial Infarction,Ahmet Kadir Arslan; Fatma Hilal Yağın; Abdulmohsen Algarni; Fahaid Al‐Hashem; Luca Paolo Ardigò,Journal Article,Multidisciplinary Digital Publishing Institute,4,TRUE,https://www.mdpi.com/2075-4418/14/13/1353/pdf?version=1719391461,39001243,10.3390/diagnostics14131353,acute myocardial infarction,Myocardial infarction,Cardiology,EBM explanations,Explainable Boosting Machine,Multimodal,Biomarker discovery,high
417,2022,Comparative analysis of explainable machine learning prediction models for hospital mortality,Eline Stenwig; Giampiero Salvi; Pierluigi Salvo Rossi; Nils Kristian Skjærvold,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,88,TRUE,https://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-022-01540-w,35220950,10.1186/s12874-022-01540-w,ICU hospital mortality,ICU mortality,Critical Care & Surgery,SHAP,Random Forest; Logistic Regression; Naive Bayes; AdaBoost,Tabular/EHR,Survival/mortality prediction,high
